file,subspecies
041_066.png,-1
041_072.png,-1
041_073.png,-1
041_067.png,-1
041_059.png,-1
041_071.png,-1
041_065.png,-1
041_064.png,-1
041_070.png,-1
041_058.png,-1
041_074.png,-1
041_060.png,-1
041_048.png,-1
041_049.png,-1
041_061.png,-1
041_075.png,-1
041_063.png,-1
041_076.png,-1
041_062.png,-1
041_039.png,-1
041_005.png,-1
041_011.png,-1
041_010.png,-1
041_004.png,-1
041_038.png,-1
041_012.png,-1
041_006.png,-1
041_007.png,-1
041_017.png,-1
041_003.png,-1
041_002.png,-1
041_016.png,-1
041_000.png,-1
041_014.png,-1
041_028.png,-1
041_029.png,-1
041_015.png,-1
041_001.png,-1
041_018.png,-1
041_024.png,-1
041_030.png,-1
041_031.png,-1
041_025.png,-1
041_019.png,-1
041_033.png,-1
041_027.png,-1
041_026.png,-1
041_032.png,-1
041_036.png,-1
041_022.png,-1
041_023.png,-1
041_037.png,-1
041_021.png,-1
041_035.png,-1
041_008.png,-1
041_034.png,-1
041_020.png,-1
041_047.png,-1
041_053.png,-1
041_052.png,-1
041_046.png,-1
041_050.png,-1
041_044.png,-1
041_045.png,-1
041_051.png,-1
041_055.png,-1
041_041.png,-1
041_069.png,-1
041_068.png,-1
041_040.png,-1
041_042.png,-1
041_056.png,-1
041_057.png,-1
041_043.png,-1
017_029.png,Italian honey bee
017_015.png,Italian honey bee
017_001.png,Italian honey bee
017_000.png,Italian honey bee
017_014.png,Italian honey bee
017_028.png,Italian honey bee
017_002.png,Italian honey bee
017_016.png,Italian honey bee
017_017.png,Italian honey bee
017_003.png,Italian honey bee
017_007.png,Italian honey bee
017_012.png,Italian honey bee
017_006.png,Italian honey bee
017_010.png,Italian honey bee
017_004.png,Italian honey bee
017_038.png,Italian honey bee
017_039.png,Italian honey bee
017_005.png,Italian honey bee
017_011.png,Italian honey bee
017_076.png,Italian honey bee
017_062.png,Italian honey bee
017_089.png,Italian honey bee
017_102.png,Italian honey bee
017_116.png,Italian honey bee
017_117.png,Italian honey bee
017_088.png,Italian honey bee
017_063.png,Italian honey bee
017_077.png,Italian honey bee
017_049.png,Italian honey bee
017_061.png,Italian honey bee
017_075.png,Italian honey bee
017_129.png,Italian honey bee
017_115.png,Italian honey bee
017_101.png,Italian honey bee
017_100.png,Italian honey bee
017_114.png,Italian honey bee
017_128.png,Italian honey bee
017_074.png,Italian honey bee
017_060.png,Italian honey bee
017_048.png,Italian honey bee
017_064.png,Italian honey bee
017_070.png,Italian honey bee
017_058.png,Italian honey bee
017_110.png,Italian honey bee
017_104.png,Italian honey bee
017_105.png,Italian honey bee
017_111.png,Italian honey bee
017_059.png,Italian honey bee
017_071.png,Italian honey bee
017_073.png,Italian honey bee
017_067.png,Italian honey bee
017_098.png,Italian honey bee
017_107.png,Italian honey bee
017_113.png,Italian honey bee
017_106.png,Italian honey bee
017_099.png,Italian honey bee
017_066.png,Italian honey bee
017_072.png,Italian honey bee
017_057.png,Italian honey bee
017_043.png,Italian honey bee
017_094.png,Italian honey bee
017_123.png,Italian honey bee
017_122.png,Italian honey bee
017_081.png,Italian honey bee
017_095.png,Italian honey bee
017_042.png,Italian honey bee
017_056.png,Italian honey bee
017_068.png,Italian honey bee
017_054.png,Italian honey bee
017_083.png,Italian honey bee
017_097.png,Italian honey bee
017_108.png,Italian honey bee
017_120.png,Italian honey bee
017_121.png,Italian honey bee
017_109.png,Italian honey bee
017_096.png,Italian honey bee
017_082.png,Italian honey bee
017_055.png,Italian honey bee
017_041.png,Italian honey bee
017_069.png,Italian honey bee
017_045.png,Italian honey bee
017_051.png,Italian honey bee
017_079.png,Italian honey bee
017_086.png,Italian honey bee
017_092.png,Italian honey bee
017_131.png,Italian honey bee
017_125.png,Italian honey bee
017_119.png,Italian honey bee
017_118.png,Italian honey bee
017_124.png,Italian honey bee
017_093.png,Italian honey bee
017_087.png,Italian honey bee
017_078.png,Italian honey bee
017_050.png,Italian honey bee
017_044.png,Italian honey bee
017_052.png,Italian honey bee
017_046.png,Italian honey bee
017_091.png,Italian honey bee
017_085.png,Italian honey bee
017_126.png,Italian honey bee
017_132.png,Italian honey bee
017_127.png,Italian honey bee
017_084.png,Italian honey bee
017_090.png,Italian honey bee
017_047.png,Italian honey bee
017_053.png,Italian honey bee
017_008.png,Italian honey bee
017_034.png,Italian honey bee
017_020.png,Italian honey bee
017_021.png,Italian honey bee
017_035.png,Italian honey bee
017_009.png,Italian honey bee
017_023.png,Italian honey bee
017_037.png,Italian honey bee
017_036.png,Italian honey bee
017_022.png,Italian honey bee
017_026.png,Italian honey bee
017_032.png,Italian honey bee
017_033.png,Italian honey bee
017_027.png,Italian honey bee
017_025.png,Italian honey bee
017_019.png,Italian honey bee
017_018.png,Italian honey bee
017_030.png,Italian honey bee
003_169.png,Italian honey bee
003_141.png,Italian honey bee
003_155.png,Italian honey bee
003_182.png,Italian honey bee
003_196.png,Italian honey bee
003_009.png,Italian honey bee
003_035.png,Italian honey bee
003_021.png,Italian honey bee
003_237.png,Italian honey bee
003_223.png,Italian honey bee
003_222.png,Italian honey bee
003_236.png,Italian honey bee
003_020.png,Italian honey bee
003_034.png,Italian honey bee
003_197.png,Italian honey bee
003_183.png,Italian honey bee
003_154.png,Italian honey bee
003_156.png,Italian honey bee
003_195.png,Italian honey bee
003_181.png,Italian honey bee
003_036.png,Italian honey bee
003_208.png,Italian honey bee
003_220.png,Italian honey bee
003_234.png,Italian honey bee
003_235.png,Italian honey bee
003_221.png,Italian honey bee
003_209.png,Italian honey bee
003_037.png,Italian honey bee
003_180.png,Italian honey bee
003_194.png,Italian honey bee
003_143.png,Italian honey bee
003_157.png,Italian honey bee
003_153.png,Italian honey bee
003_147.png,Italian honey bee
003_190.png,Italian honey bee
003_184.png,Italian honey bee
003_225.png,Italian honey bee
003_231.png,Italian honey bee
003_218.png,Italian honey bee
003_230.png,Italian honey bee
003_185.png,Italian honey bee
003_191.png,Italian honey bee
003_146.png,Italian honey bee
003_152.png,Italian honey bee
003_144.png,Italian honey bee
003_178.png,Italian honey bee
003_187.png,Italian honey bee
003_193.png,Italian honey bee
003_232.png,Italian honey bee
003_227.png,Italian honey bee
003_233.png,Italian honey bee
003_192.png,Italian honey bee
003_186.png,Italian honey bee
003_179.png,Italian honey bee
003_151.png,Italian honey bee
003_145.png,Italian honey bee
003_122.png,Italian honey bee
003_136.png,Italian honey bee
003_095.png,Italian honey bee
003_081.png,Italian honey bee
003_268.png,Italian honey bee
003_254.png,Italian honey bee
003_240.png,Italian honey bee
003_283.png,Italian honey bee
003_282.png,Italian honey bee
003_241.png,Italian honey bee
003_255.png,Italian honey bee
003_269.png,Italian honey bee
003_094.png,Italian honey bee
003_137.png,Italian honey bee
003_123.png,Italian honey bee
003_109.png,Italian honey bee
003_135.png,Italian honey bee
003_121.png,Italian honey bee
003_243.png,Italian honey bee
003_257.png,Italian honey bee
003_280.png,Italian honey bee
003_281.png,Italian honey bee
003_256.png,Italian honey bee
003_242.png,Italian honey bee
003_120.png,Italian honey bee
003_134.png,Italian honey bee
003_130.png,Italian honey bee
003_124.png,Italian honey bee
003_246.png,Italian honey bee
003_252.png,Italian honey bee
003_253.png,Italian honey bee
003_247.png,Italian honey bee
003_251.png,Italian honey bee
003_245.png,Italian honey bee
003_279.png,Italian honey bee
003_278.png,Italian honey bee
003_244.png,Italian honey bee
003_250.png,Italian honey bee
003_249.png,Italian honey bee
003_275.png,Italian honey bee
003_261.png,Italian honey bee
003_260.png,Italian honey bee
003_274.png,Italian honey bee
003_248.png,Italian honey bee
003_262.png,Italian honey bee
003_276.png,Italian honey bee
003_277.png,Italian honey bee
003_263.png,Italian honey bee
003_267.png,Italian honey bee
003_273.png,Italian honey bee
003_272.png,Italian honey bee
003_266.png,Italian honey bee
003_270.png,Italian honey bee
003_264.png,Italian honey bee
003_258.png,Italian honey bee
003_259.png,Italian honey bee
003_265.png,Italian honey bee
003_271.png,Italian honey bee
022_103.png,Italian honey bee
022_117.png,Italian honey bee
022_301.png,Italian honey bee
022_315.png,Italian honey bee
022_329.png,Italian honey bee
022_275.png,Italian honey bee
022_261.png,Italian honey bee
022_249.png,Italian honey bee
022_088.png,Italian honey bee
022_077.png,Italian honey bee
022_063.png,Italian honey bee
022_062.png,Italian honey bee
022_076.png,Italian honey bee
022_248.png,Italian honey bee
022_260.png,Italian honey bee
022_274.png,Italian honey bee
022_328.png,Italian honey bee
022_300.png,Italian honey bee
022_116.png,Italian honey bee
022_102.png,Italian honey bee
022_114.png,Italian honey bee
022_100.png,Italian honey bee
022_128.png,Italian honey bee
022_316.png,Italian honey bee
022_302.png,Italian honey bee
022_289.png,Italian honey bee
022_262.png,Italian honey bee
022_276.png,Italian honey bee
022_060.png,Italian honey bee
022_074.png,Italian honey bee
022_075.png,Italian honey bee
022_277.png,Italian honey bee
022_263.png,Italian honey bee
022_288.png,Italian honey bee
022_303.png,Italian honey bee
022_129.png,Italian honey bee
022_101.png,Italian honey bee
022_115.png,Italian honey bee
